2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:20 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:21 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:22 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:23 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:24 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:25 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:26 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
2025-09-21 13:03:27 | src.data.data_processor | ERROR    | data_processor.py:376 | Error calculating technical indicators: module 'ta.volume' has no attribute 'volume_sma'
